Control - E1,Control - E2,Control - E3
4.023094633333334,3.7648277421052634,3.8951812500000003
3.3985358291666667,3.7563239960526316,3.904198792857143
3.3942345958333333,3.6751212868421055,3.8923327750000003
3.386820459090909,3.6595734236842103,3.9011929678571424
3.3922349863636363,3.678871828947368,3.893468307142857
3.3891027318181823,3.6850874526315787,3.8891941714285716
3.387831372727273,3.6716616236842103,3.8855965
3.3871813090909093,3.6817436277777773,3.8889235500000003
3.398875355,3.6679440588235295,3.883824165384615
3.399081445,3.670303470588235,3.8714482461538466
3.3922031777777777,3.6832511875,3.86889035
3.4048786333333334,3.6755517625,3.8626749409090912
3.41533500625,3.679275923333333,3.859893459090909
3.4452557857142856,3.6708547200000003,3.8693957363636367
3.4458938428571426,3.68166273,3.865654154545454
3.4657266285714288,3.6769313400000003,3.842101695
3.453934178571428,3.669646253333333,3.8403732450000003
3.444476107142857,3.67716955,3.8290367300000003
3.462851742857143,3.6843600833333334,3.83071731
3.4599007285714283,3.6836322800000003,3.836226305
3.45678065,3.6736669833333333,3.8357049950000004
3.4780423357142856,3.685797166666667,3.83899674
3.4700873999999997,3.686370216666667,3.838388205
3.4800290857142855,3.6656232033333334,3.835586305
3.482524885714286,3.679763133333334,3.838682925
3.4630954166666665,3.688397243333333,3.82917781
3.5188547875,3.6845364249999997,3.849007085
3.5198173375,3.671215273076923,3.83316698
3.5194001249999998,3.6719086884615386,3.80736555
3.5204969625,3.6704498916666664,3.8048654666666666
3.5227134749999998,3.684779933333333,3.8051272722222222
3.54130115,3.6731898041666664,3.79592826875
3.513872975,3.691114218181818,3.78486813125
3.5289363750000002,3.697234640909091,3.78980945625
3.476354483333333,3.687110568181818,3.77019141875
3.4790700333333335,3.6885028727272724,3.7785362312500004
3.4770922166666667,3.6931555272727272,3.8015937187499995
3.4699084499999997,3.6399922649999996,3.7876386875000003
3.4858947833333334,3.6483018599999997,3.7869722812499997
3.4796107000000003,3.6522874,3.7780314625
3.4842442499999997,3.658448535,3.7841335249999997
3.4680694,3.653618675,3.7754734375000005
3.073929183333333,3.6415426699999998,3.7885565000000003
3.499603416666667,3.6572181550000002,3.7890604625
3.4973952166666664,3.711350172222222,3.7794642125
3.48231175,3.727488494444444,3.7761680374999997
3.483060666666667,3.7249611611111106,3.770809628571429
3.4866003166666664,3.729837861111111,3.772955057142857
3.4758528666666666,3.7231007833333334,3.767368514285714
3.5051383,3.7155944555555553,3.7675012571428574
3.4926414333333335,3.7246224277777777,3.7643777714285713
3.5152086999999996,3.7121482125,3.7787732285714286
3.501655216666667,3.7185155937500003,3.773640957142857
3.4880487166666665,3.7156330000000004,3.770041421428571
3.5130316833333337,3.7117158375,3.7727834857142852
3.5144717500000002,3.7280892750000003,3.7701065714285713
3.5030489333333334,3.728676,3.764148214285714
3.5059268333333335,3.7304422214285715,3.7755354500000005
3.4993283833333333,3.7327046571428575,3.765810457142857
3.5134090000000002,3.7068996083333334,3.769427207142857
3.506508066666666,3.7010237083333335,3.767233864285714
3.509747583333333,3.702055458333333,3.7686857
3.490040083333333,3.70942885,3.7689110857142865
3.5103686666666665,3.7174723,3.7715714785714285
3.5067930166666663,3.71876558,3.7728410214285715
3.512136466666667,3.7182527100000002,3.767797057142857
3.507511083333334,3.71498858,3.77406785
3.527832966666667,3.7261476399999998,3.772908928571429
3.543697766666667,3.70776252,3.768508907142857
3.535379333333333,3.682124625,3.7692881642857143
3.53388965,3.6679141375000004,3.7699805
3.5316047666666663,3.6807783875,3.777627571428571
3.5396798166666668,3.6809872375,3.7704040642857146
3.533296983333333,3.6719293875,3.7803385428571428
3.5245768166666664,3.6740299375000003,3.7897396714285714
3.5417708833333332,3.6455257249999997,3.7828667071428574
3.5313354,3.6751515374999997,3.775157
3.5378476,3.6500399875,3.7817805499999997
3.4701344250000004,3.6503019,3.77756955
3.472897325,3.6576420875,3.783688078571428
3.48445955,3.5902639,3.775002907142857
3.4675756,3.6022337,3.775451628571429
