Main - E1,Main - E2,Main - E3
3.716583622856897,3.4856076949227996,3.39650800057372
3.7226663652088687,3.4978852201705832,3.4004101247163567
3.720601018919063,3.5052515130209527,3.407807189967875
3.726242922164224,3.501698195655073,3.4096948602165043
3.7330092659859226,3.506997670034983,3.4266824850361233
3.7386098142419613,3.512924657964389,3.4132727598827097
3.7443457233312634,3.5210919961614415,3.424249511302957
3.743503300368861,3.524591007655095,3.4306488842162395
3.74807259670863,3.5258731969690893,3.4293346537711664
3.745125571827397,3.531349217868474,3.442392321383241
3.751932119729345,3.5307255553010117,3.4295953205730227
3.7422726572976925,3.528849068098544,3.4506193319644067
3.7584176163045067,3.536193769999168,3.452288707295992
3.76119037902576,3.536284474190256,3.4546857997843103
3.773804850161151,3.5369823700504526,3.4600790235094316
3.779526911993109,3.5246815678733254,3.4584918970228706
3.780334766443238,3.5318704151586777,3.4569283373093427
3.7847920620802284,3.5414061618736765,3.469631005504018
3.78260920661488,3.544725760616288,3.4637788209900378
3.7930829070405805,3.550700555424111,3.4695366119937523
3.795103548568411,3.547264210922711,3.4684134486583553
3.7910648140299714,3.54876451955764,3.478908922802977
3.804450204786991,3.5537345389260127,3.481141174291502
3.8064662193625183,3.5665881840079927,3.484797831299538
3.8041879907407408,3.568864747947496,3.473888355052156
3.801201255904909,3.5665659724613237,3.4807692538665784
3.8110756385371487,3.5665100453804763,3.487942157514246
3.811668483883724,3.556345737605511,3.4941608109774736
3.8221559890540746,3.5725930145968996,3.4959462545937816
3.8153806246108943,3.5667309884785667,3.4915346237927793
3.8293516572968516,3.569403578661865,3.49724244307708
3.831362659805342,3.5696072706043287,3.503415555544504
3.8352663786231105,3.571317176198542,3.5051417110370173
3.837160895603624,3.5672510095804624,3.508000469503183
3.840665850603975,3.5691163048840595,3.5081700584751845
3.8435848793271163,3.5875225571899825,3.5109820523276944
3.8439578712355975,3.5866783144578562,3.5047703464425775
3.850976065317215,3.591874241445102,3.5055314580174675
3.854658647902615,3.5933568671992147,3.5176338475184004
3.8566211726643793,3.5951087429786535,3.5196014347264666
3.853711859606192,3.5962635279317796,3.520654516932184
3.8607413818970437,3.598688936356372,3.526255922796326
3.8640046228920184,3.60351680708627,3.5248233563063165
3.867501917589048,3.5894280891039765,3.524876846913675
3.866244190729057,3.592419525051274,3.531052427025288
3.862885778811453,3.5948610796347693,3.5329448133380295
3.8662842399973343,3.59112340022658,3.537210973642922
3.874619070467208,3.607708225335845,3.533587018865134
3.875763089865128,3.6110068765786494,3.543970373472188
3.8766996793757813,3.6118104481366884,3.5431461920802834
3.879190088963307,3.60639016673775,3.5475545029877886
3.8828819900552256,3.6088641961391694,3.546138351388074
3.8827979005864313,3.607891537624277,3.5522315173359074
3.885073492462142,3.601881026020494,3.552016025240416
3.8793536906811648,3.6051999466376676,3.5514510095750667
3.8814446005130656,3.6047041814079597,3.557754293038157
3.886941268273477,3.6139967692977093,3.56112208820725
3.889986381073112,3.6247612495513506,3.5606148070504466
3.8922701845895964,3.6259462755905574,3.558140537505951
3.8911615221958016,3.625826592837414,3.562127250840766
3.890426480320758,3.626359286983668,3.5575220439633206
3.893432712610241,3.6272911641563312,3.5621646511722096
3.8844912981670605,3.6279598388601935,3.563434668480383
3.8856401726860623,3.622601582260148,3.564482514420869
3.8939825162600172,3.623827972185869,3.5574390241708556
3.893090944219577,3.6130970282653534,3.5675629337459775
3.8957235089089925,3.6312777913031624,3.5668997753134875
3.897114367530841,3.632635636686581,3.5683793575312905
3.896949460250165,3.633318087353306,3.5669165270559384
3.8972861363575566,3.637352236402843,3.565697669682477
3.897911670548081,3.6389544147405273,3.572104189210421
3.896835514143686,3.640581455147219,3.5653385613774207
3.897428152158085,3.640794819610021,3.5685423591768832
3.898538079998211,3.6222882655161213,3.5688179851034234
3.895511986733786,3.6274679443051534,3.5710071512270494
3.897797831282298,3.635647910314797,3.5752583829858495
3.898853522214643,3.6493365397093624,3.574306636989783
3.8949201196151733,3.649813689485684,3.5750054644148657
3.8970970230085045,3.648914501154813,3.5757906237247
3.896245253885205,3.6530887017164715,3.574137371585769
3.8970275060993926,3.6538159868720186,3.575030195675441
3.889720726192266,3.6547850841468255,3.57544397124247
3.8867478619888294,3.656657337737242,3.576313582389138
3.8895456119648997,3.6555448644515836,3.5789668373691983
3.896940668142043,3.656663226837229,3.570644178132465
3.8983377137473156,3.6525057419679507,3.562949386211655
3.8979422197474847,3.6485512159054823,3.5690584317969583
3.8982433571028245,3.6518934794174447,3.5742461790692936
3.8996155973541113,3.660344300827363,3.574630075165512
3.8998072775104213,3.659016800059496,3.5763041312910238
3.901075369172035,3.6602739010942416,3.575488669963497
3.9002548707408105,3.6616124632998686,3.5723872304726463
3.9020173020756346,3.6621941266290507,3.5690553708684725
3.9003672101531266,3.66262522013294,3.569644241269553
